Name,Team,BattingStyle,BowlingStyle,PlayingRole
Rohit Sharma,India,Right Hand Bat,Right Arm Offbreak,Top Order Batter
Ishan Kishan,India,Left Hand Bat,,Wicketkeeper Batter
Sheryas Iyer,India,Right Hand Bat,"Right Arm Offbreak, Legbreak Googly",Top Order Batter
Virat Kohli,India,Right Hand Bat,Right Arm Medium,Top Order Batter
KL Rahul,India,Right Hand Bat,,Wicketkeeper Batter
Shubman Gill,India,Right Hand Bat,Right Arm Offbreak,Opening Batter
Suryakumar Yadav,India,Right Hand Bat,"Right Arm Medium, Right Arm Offbreak",Batter
Hardik Pandya,India,Right Hand Bat,Right Arm Medium Fast,Allrounder
Ravichandran Ashwin,India,Right Hand Bat,Right Arm Offbreak,Bowling Allrounder
Ravindra Jadeja,India,Left Hand Bat,Slow Left Arm Orthodox,Allrounder
Jasprit Bumrah,India,Right Hand Bat,Right Arm Fast,Bowler
Kuldeep Yadav,India,Left Hand Bat,Left Arm Wrist Spin,Bowler
Mohammed Shami,India,Right Hand Bat,Right Arm Fast,Bowler
Mohammed Siraj,India,Right Hand Bat,Right Arm Fast,Bowler
Shardul Thakur,India,Right Hand Bat,Right Arm Medium,Bowler
Hashmatullah Shahidi,Afghanistan,Left Hand Bat,Right Arm Offbreak,Top Order Batter
Ibrahim Zadran,Afghanistan,Right Hand Bat,Right Arm Medium Fast,Opening Batter
Ikram Alikhil,Afghanistan,Left Hand Bat,,Wicketkeeper Batter
Najibullah Zadran,Afghanistan,Left Hand Bat,Right Arm Offbreak,Middle Order Batter
Rahmanullah Gurbaz,Afghanistan,Right Hand Bat,,Wicketkeeper Batter
Riaz Hassan,Afghanistan,Right Hand Bat,,Batter
Azmatullah Omarzai,Afghanistan,Right Hand Bat,Right Arm Medium Fast,Allrounder
Mohammed Nabi,Afghanistan,Right Hand Bat,Right Arm Medium Fast,Allrounder
Rahmat Shah,Afghanistan,Right Hand Bat,Legbreak Googly,Allrounder
Rashid Khan,Afghanistan,Right Hand Bat,Legbreak Googly,Bowling Allrounder
Abdul Rahman,Afghanistan,Right Hand Bat,Right Arm Fast Medium,Bowler
Fazalhaq Farooqi,Afghanistan,Right Hand Bat,Left Arm Fast Medium,Bowler
Mujeeb Ur Rahman,Afghanistan,Right Hand Bat,Right Arm Offbreak,Bowler
Naveen-ul-Haq,Afghanistan,Right Hand Bat,Right Arm Medium Fast,Bowler
Noor Ahmad,Afghanistan,Right Hand Bat,Left Arm Wrist Spin,Bowler
Alex Carey,Australia,Left Hand Bat,,Wicketkeeper Batter
Travis Head,Australia,Left Hand Bat,Right Arm Offbreak,Middle Order Batter
Josh Inglis,Australia,Right Hand Bat,,Wicketkeeper Batter
Marnus Labuchagne,Australia,Right Hand Bat,Legbreak,Batter
Steven Smith,Australia,Right Hand Bat,Legbreak Googly,Middle Order Batter
David Warner,Australia,Left Hand Bat,Legbreak,Opening Batter
Sean Abbott,Australia,Right Hand Bat,Right Arm Fast Medium,Bowling Allrounder
Cameron Green,Australia,Right Hand Bat,Right Arm Fast Medium,Batting Allrounder
Mitchell Marsh,Australia,Right Hand Bat,Right Arm Medium,Allrounder
Glenn Maxwell,Australia,Right Hand Bat,Right Arm Offbreak,Batting Allrounder
Marcus Stonis,Australia,Right Hand Bat,Right Arm Medium,Batting Allrounder
Pat Cummins,Australia,Right Hand Bat,Right Arm Fast,Bowler
Josh Hazlewood,Australia,Left Hand Bat,Right Arm Fast Medium,Bowler
Mitchell Starc,Australia,Left Hand Bat,Left Arm Fast,Bowler
Adam Zampa,Australia,Right Hand Bat,Legbreak Googly,Bowler
Najmul Hossain Shanto,Bangladesh,Left Hand Bat,Right Arm Offbreak,Top Order Batter
Litton Das,Bangladesh,Right Hand Bat,Right Arm Offbreak,Wicketkeeper Batter
Mushfiqur Rahim,Bangladesh,Right Hand Bat,,Wicketkeeper Batter
Tanzid Hasan,Bangladesh,Left Hand Bat,,Opening Batter
Towhid Hridoy,Bangladesh,Right Hand Bat,Right Arm Offbreak,Top Order Batter
Shakib Al Hasan,Bangladesh,Left Hand Bat,Slow Left Arm Orthodox,Allrounder
Mahedi Hasan,Bangladesh,Right Hand Bat,Right Arm Offbreak,Allrounder
Mahmudullah,Bangladesh,Right Hand Bat,Right Arm Offbreak,Allrounder
Mehidy Hasan Miraz,Bangladesh,Right Hand Bat,Right Arm Offbreak,Allrounder
Hasan Mahmud,Bangladesh,Right Hand Bat,Right Arm Fast Medium,Bowler
Mustafizur Rahman,Bangladesh,Left Hand Bat,Left Arm Fast Medium,Bowler
Nasum Ahmed,Bangladesh,Left Hand Bat,Slow Left Arm Orthodox,Bowler
Shoriful Islam,Bangladesh,Left Hand Bat,Left Arm Medium Fast,Bowler
Tanzim Hasan Sakib,Bangladesh,Right Hand Bat,Right Arm Medium,Bowler
Taskin Ahmed,Bangladesh,Left Hand Bat,Right Arm Fast,Bowler
Jos Buttler,England,Right Hand Bat,,Wicketkeeper Batter
Jonny Bairstow,England,Right Hand Bat,Right Arm Fast,Wicketkeeper Batter
Harry Brook,England,Right Hand Bat,Right Arm Medium,Batter
Dawid Malan,England,Left Hand Bat,Legbreak,Top Order Batter
Joe Root,England,Right Hand Bat,"Right Arm Offbreak, Legbreak",Top Order Batter
Jason Roy,England,Right Hand Bat,,Opening Batter
Moeen Ali,England,Left Hand Bat,Right Arm Offbreak,Batting Allrounder
Brydon Carse,England,Right Hand Bat,Right Arm Fast,Bowling Allrounder
Sam Curran,England,Left Hand Bat,Left Arm Medium Fast,Allrounder
Liam Livingstone,England,Right Hand Bat,"Right Arm Offbreak, Legbreak",Batting Allrounder
Ben Stokes,England,Left Hand Bat,Right Arm Fast Medium,Allrounder
David Willey,England,Left Hand Bat,Left Arm Fast Medium,Bowling Allrounder
Chris Woakes,England,Right Hand Bat,Right Arm Fast Medium,Allrounder
Gus Atkinson,England,Right Hand Bat,Right Arm Fast Medium,Bowler
Adil Rashid,England,Right Hand Bat,Legbreak,Bowler
Mark Wood,England,Right Hand Bat,Right Arm Fast,Bowler
Reece Topley,England,Right Hand Bat,Left Arm Fast Medium,Bowler
Scott Edwards,Netherlands,Right Hand Bat,,Wicketkeeper Batter
Wesley Barresi,Netherlands,Right Hand Bat,Right Arm Offbreak,Batter
Max O'Dows,Netherlands,Right Hand Bat,Right Arm Offbreak,Opening Batter
Vikramjit Singh,Netherlands,Left Hand Bat,Right Arm Medium,Opening Batter
Colin Ackermann,Netherlands,Right Hand Bat,Right Arm Offbreak,Batting Allrounder
Bas de Leede,Netherlands,Right Hand Bat,Right Arm Fast Medium,Batting Allrounder
Sybrand Engelbrecht,Netherlands,Right Hand Bat,Right Arm Offbreak,Allrounder
Teja Nidamanuru,Netherlands,Right Hand Bat,Right Arm Offbreak,Allrounder
Saqib Zulfiqar,Netherlands,Right Hand Bat,Legbreak,Bowling Allrounder
Roelof van der Merwe,Netherlands,Right Hand Bat,Slow Left Arm Orthodox,Bowling Allrounder
Aryan Dutt,Netherlands,Right Hand Bat,Right Arm Offbreak,Bowler
Ryan Klein,Netherlands,Right Hand Bat,Right Arm Medium Fast,Bowler
Shariz Ahmad,Netherlands,Left Hand Bat,Legbreak Googly,Bowler
Logan van Beek,Netherlands,Right Hand Bat,Right Arm Medium Fast,Bowler
Paul van Meekeren,Netherlands,Right Hand Bat,Right Arm Fast Medium,Bowler
Kane Williamson,New Zealand,Right Hand Bat,Right Arm Offbreak,Top Order Batter
Tom Latham ,New Zealand,Left Hand Bat,Right Arm Medium,Wicketkeeper Batter
Devon Conway,New Zealand,Left Hand Bat,Right Arm Medium,Wicketkeeper Batter
Glenn Phillips,New Zealand,Right Hand Bat,Right Arm Offbreak,Wicketkeeper Batter
Will Young,New Zealand,Right Hand Bat,Right Arm Offbreak,Top Order Batter
Mark Chapman,New Zealand,Left Hand Bat,Slow Left Arm Orthodox,Allrounder
Daryl Mitchell,New Zealand,Right Hand Bat,Right Arm Medium,Batting Allrounder
James Neesham,New Zealand,Left Hand Bat,Right Arm Medium Fast,Batting Allrounder
Rachin Ravindra,New Zealand,Left Hand Bat,Slow Left Arm Orthodox,Batting Allrounder
Mitchell Santner,New Zealand,Left Hand Bat,Slow Left Arm Orthodox,Bowling Allrounder
Trent Boult,New Zealand,Right Hand Bat,Left Arm Fast Medium,Bowler
Lockie Ferguson,New Zealand,Right Hand Bat,Right Arm Fast,Bowler
Matt Henry,New Zealand,Right Hand Bat,Right Arm Fast Medium,Bowler
Ish Sodhi,New Zealand,Right Hand Bat,Legbreak,Bowler
Tim Southee,New Zealand,Right Hand Bat,Right Arm Medium Fast,Bowler
Babar Azam,Pakistan,Right Hand Bat,Right Arm Offbreak,Batter
Abdullah Shafique,Pakistan,Right Hand Bat,Right Arm Offbreak,Top Order Batter
Fakhar Zaman,Pakistan,Left Hand Bat,Slow Left Arm Orthodox,Opening Batter
Iftikhar Ahmed,Pakistan,Right Hand Bat,Right Arm Offbreak,Middle Order Batter
Imam-ul-Haq,Pakistan,Left Hand Bat,,Top Order Batter
Mohammad Rizwan,Pakistan,Right Hand Bat,,Wicketkeeper Batter
Saud Shakeel,Pakistan,Left Hand Bat,Left Arm Slow,Middle Order Batter
Agha Salman,Pakistan,Right Hand Bat,Right Arm Offbreak,Allrounder
Mohammad Nawaz,Pakistan,Left Hand Bat,Slow Left Arm Orthodox,Allrounder
Mohammad Wasim,Pakistan,Right Hand Bat,Right Arm Fast Medium,Bowling Allrounder
Shadab Khan,Pakistan,Right Hand Bat,Legbreak,Allrounder
Haris Rauf,Pakistan,Right Hand Bat,Right Arm Fast,Bowler
Hasan Ali,Pakistan,Right Hand Bat,Right Arm Medium Fast,Bowler
Shaheen Shah Afridi,Pakistan,Left Hand Bat,Left Arm Fast,Bowler
Usama Mir,Pakistan,Right Hand Bat,Legbreak,Bowler
Temba Bavuma,South Africa,Right Hand Bat,Right Arm Medium,Middle Order Batter
Quinton de Kock,South Africa,Left Hand Bat,,Wicketkeeper Batter
Reeza Hendricks,South Africa,Right Hand Bat,Right Arm Offbreak,Opening Batter
Heinrich Klaasen,South Africa,Right Hand Bat,Right Arm Offbreak,Wicketkeeper Batter
Aiden Markram,South Africa,Right Hand Bat,Right Arm Offbreak,Opening Batter
David Miller,South Africa,Left Hand Bat,Right Arm Offbreak,Middle Order Batter
Rassie Van der Dussen,South Africa,Right Hand Bat,Legbreak,Top Order Batter
Marco Jansen,South Africa,Right Hand Bat,Left Arm Medium Fast,Bowling Allrounder
Andile Phehlukwayo,South Africa,Left Hand Bat,Right Arm Medium Fast,Bowling Allrounder
Gerald Coetzee,South Africa,Right Hand Bat,Right Arm Fast,Bowler
Keshav Maharaj,South Africa,Right Hand Bat,Slow Left Arm Orthodox,Bowler
Lungi Ngidi,South Africa,Right Hand Bat,Right Arm Fast Medium,Bowler
Kagiso Rabada,South Africa,Left Hand Bat,Right Arm Fast,Bowler
Tabraiz Shamsi,South Africa,Right Hand Bat,Left Arm Wrist Spin,Bowler
Lizaad Williams,South Africa,Left Hand Bat,Right Arm Medium Fast,Bowler
Sisanda Magala,South Africa,Right Hand Bat,Right Arm Fast Medium,Bowler
Anrich Nortje,South Africa,Right Hand Bat,Right Arm Fast,Bowler
Kusal Mendis,Sri Lanka,Right Hand Bat,Legbreak,Wicketkeeper Batter
Dimuth Karunaratne,Sri Lanka,Left Hand Bat,Right Arm Medium,Opening Batter
Pathum Nissanka,Sri Lanka,Right Hand Bat,,Top Order Batter
Kusal Perera,Sri Lanka,Left Hand Bat,,Wicketkeeper Batter
Sadeera Samarawickrama,Sri Lanka,Right Hand Bat,,Wicketkeeper Batter
Charith Asalanka,Sri Lanka,Left Hand Bat,Right Arm Offbreak,Batting Allrounder
Dhananjaya de Silva,Sri Lanka,Right Hand Bat,Right Arm Offbreak,Allrounder
Dushan Hemantha,Sri Lanka,Right Hand Bat,Legbreak,Allrounder
Chamika Karunaratne,Sri Lanka,Right Hand Bat,Right Arm Medium Fast,Bowling Allrounder
Angelo Mathews,Sri Lanka,Right Hand Bat,Right Arm Medium,Allrounder
Dasun Shanaka,Sri Lanka,Right Hand Bat,Right Arm Medium,Allrounder
Dushmantha Chameera,Sri Lanka,Right Hand Bat,Right Arm Fast,Bowler
Dilshan Madushanka,Sri Lanka,Right Hand Bat,Left Arm Fast Medium,Bowler
Kasun Rajitha,Sri Lanka,Right Hand Bat,Right Arm Medium Fast,Bowler
Maheesh Theekshana,Sri Lanka,Right Hand Bat,Right Arm Offbreak,Bowler
Dunith Wellalage,Sri Lanka,Left Hand Bat,Slow Left Arm Orthodox,Bowler
Lahiru Kumara,Sri Lanka,Left Hand Bat,Right Arm Fast,Bowler
Matheesha Pathirana,Sri Lanka,Right Hand Bat,Right Arm Fast,Bowler
